Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-01-09,107.246,107.694,106.762,107.38,148471920,0,0
2012-01-10,107.52,107.908,107.016,107.654,132788740,0,0
2012-01-11,107.778,108.17,107.32,107.906,129659580,0,0
2012-01-12,108.208,108.416,107.674,108.152,118677320,0,0
2012-01-13,108.282,108.556,107.746,108.342,125034560,0,0
2012-01-17,108.63,108.914,107.996,108.564,131570360,0,0
2012-01-18,108.618,109.114,108.018,108.84,141193000,0,0
2012-01-19,109.036,109.482,108.402,109.22,144150640,0,0
2012-01-20,109.318,109.86,108.802,109.63,147999940,0,0
2012-01-23,109.8,110.398,109.35,110.096,137891860,0,0
2012-01-24,109.922,110.598,109.636,110.452,132066680,0,0
2012-01-25,110.248,110.94,109.918,110.754,139110280,0,0
2012-01-26,110.572,111.248,110.012,110.826,150820600,0,0
2012-01-27,110.572,111.266,110.05,110.804,150226380,0,0
2012-01-30,110.404,111.13,109.896,110.764,153829580,0,0
2012-01-31,110.608,111.244,109.91,110.74,164655320,0,0
2012-02-01,110.782,111.288,110.142,110.724,158179580,0,0
2012-02-02,110.712,111.224,110.284,110.858,143821560,0,0
2012-02-03,111.176,111.656,110.724,111.316,148889440,0,0
2012-02-06,111.76,112.172,111.356,111.832,140965980,0,0
2012-02-07,112.122,112.648,111.852,112.416,136629200,0,0
2012-02-08,112.554,112.998,112.218,112.874,131254580,0,0
2012-02-09,113.004,113.43,112.614,113.324,138357080,0,0
2012-02-10,113.03,113.404,112.626,113.294,139818880,0,0
2012-02-13,113.256,113.572,112.78,113.448,141448360,0,0
2012-02-14,113.396,113.614,112.884,113.516,147408640,0,0
2012-02-15,113.526,113.716,112.88,113.41,158575380,0,0
2012-02-16,113.386,113.814,112.84,113.526,166168360,0,0
2012-02-17,113.782,114.178,113.196,113.87,158560740,0,0
2012-02-21,114.018,114.436,113.416,114.056,162200820,0,0
2012-02-22,114.23,114.652,113.674,114.196,154025980,0,0
2012-02-23,114.284,114.804,113.878,114.544,142527820,0,0
2012-02-24,114.68,114.978,114.266,114.692,126322080,0,0
2012-02-27,114.596,115.128,114.24,114.818,129493980,0,0
2012-02-28,114.676,115.24,114.388,115.002,128556700,0,0
2012-02-29,114.928,115.516,114.514,115.168,140852580,0,0
2012-03-01,115.156,115.728,114.754,115.352,142316420,0,0
2012-03-02,115.276,115.832,114.816,115.416,145336260,0,0
2012-03-05,115.458,115.778,114.896,115.348,144343480,0,0
2012-03-06,115.146,115.394,114.464,114.876,158898280,0,0
2012-03-07,114.692,115.01,114.194,114.654,150449780,0,0
2012-03-08,114.558,114.898,114.078,114.538,144838860,0,0
2012-03-09,114.5,114.916,114.1,114.582,145278560,0,0
2012-03-12,114.576,115.01,114.236,114.72,137926260,0,0
2012-03-13,115.076,115.8,114.862,115.612,134318380,0,0
2012-03-14,115.922,116.564,115.626,116.32,134612660,0,0
2012-03-15,116.528,117.144,116.218,116.938,144242580,0,0
2012-03-16,117.146,117.676,116.802,117.5,150253920,0.1228,0
2012-03-19,117.696,118.37,117.414,118.154,154511440,0.1228,0
2012-03-20,118.09,118.554,117.778,118.322,142039280,0.1228,0
2012-03-21,118.264,118.69,117.956,118.476,137484240,0.1228,0
2012-03-22,118.208,118.586,117.886,118.324,131503880,0.1228,0
2012-03-23,118.032,118.472,117.642,118.214,125029380,0,0
2012-03-26,118.106,118.528,117.724,118.342,124003960,0,0
2012-03-27,118.39,118.734,117.968,118.464,123631720,0,0
2012-03-28,118.488,118.848,117.92,118.508,128866460,0,0
2012-03-29,118.566,119.008,117.98,118.682,134815860,0,0
2012-03-30,118.836,119.218,118.234,118.878,137809020,0,0
2012-04-02,118.834,119.32,118.194,118.918,144124440,0,0
2012-04-03,118.818,119.328,118.084,118.934,151312080,0,0
2012-04-04,118.67,119.162,118.034,118.832,150978860,0,0
2012-04-05,118.626,119.112,118.062,118.758,145474000,0,0
2012-04-09,118.138,118.908,117.688,118.32,143887820,0,0
2012-04-10,117.684,118.254,116.912,117.316,160611660,0,0
2012-04-11,116.95,117.522,116.29,116.596,160276920,0,0
2012-04-12,116.428,117.28,115.9,116.414,161762020,0,0
2012-04-13,116.274,117.048,115.52,115.966,168123480,0,0
2012-04-16,116.242,116.744,115.308,115.768,172177360,0,0
2012-04-17,116.224,116.916,115.634,116.306,154680820,0,0
2012-04-18,116.42,117.176,115.91,116.578,148631060,0,0
2012-04-19,116.674,117.218,115.916,116.398,157500100,0,0
2012-04-20,116.65,117.22,116.062,116.534,152290680,0,0
2012-04-23,116.43,117.03,115.954,116.49,157094600,0,0
2012-04-24,116.274,116.744,115.802,116.19,155015920,0,0
2012-04-25,116.306,116.772,115.826,116.288,160289520,0,0
2012-04-26,116.35,116.968,116.12,116.7,147814500,0,0
2012-04-27,116.73,117.298,116.446,117.112,145319580,0,0
2012-04-30,117.334,117.854,117.044,117.632,133969040,0,0
2012-05-01,117.82,118.528,117.522,118.212,134238640,0,0
2012-05-02,118.036,118.732,117.68,118.402,128404400,0,0
2012-05-03,118.28,118.754,117.71,118.248,129898020,0,0
2012-05-04,117.932,118.502,117.222,117.676,142538480,0,0
2012-05-07,117.324,118.054,116.712,117.21,145073220,0,0
2012-05-08,116.73,117.23,115.918,116.502,159982320,0,0
2012-05-09,115.916,116.58,115.078,115.73,179916620,0,0
2012-05-10,115.298,115.974,114.524,115.184,181284680,0,0
2012-05-11,114.734,115.564,114.22,114.95,173105700,0,0
2012-05-14,114.362,115.236,113.788,114.444,180334520,0,0
2012-05-15,113.982,114.904,113.486,113.902,179184840,0,0
2012-05-16,113.786,114.556,113.202,113.41,176487440,0,0
2012-05-17,113.142,113.908,112.372,112.54,195966020,0,0
2012-05-18,112.5,113.018,111.432,111.548,229282720,0,0
2012-05-21,111.8,112.412,110.764,111.188,232072940,0,0
2012-05-22,111.51,112.146,110.462,110.996,230053320,0,0
2012-05-23,111.056,111.794,109.988,110.902,229591900,0,0
2012-05-24,111.016,111.764,110.094,111.184,213464840,0,0
2012-05-25,111.204,111.976,110.472,111.584,176634780,0,0
2012-05-29,111.71,112.298,110.678,111.876,171639260,0,0
2012-05-30,111.752,112.376,110.702,111.802,164607100,0,0
2012-05-31,111.83,112.374,110.76,111.666,162852620,0,0
2012-06-01,111.288,112.148,110.21,110.928,180029280,0,0
2012-06-04,110.598,111.454,109.426,110.252,193445320,0,0
2012-06-05,109.702,110.666,108.854,109.47,195698500,0,0
2012-06-06,109.266,110.386,108.592,109.506,200064980,0,0
