Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-31,80.56,80.73,79.23,79.28,14619500,0.0,0
2002-01-02,79.84,80.28,78.94,80.13,18651900,0.0,0
2002-01-03,80.21,81.12,80.14,81.04,15743000,0.0,0
2002-01-04,81.27,81.83,80.84,81.58,20140700,0.0,0
2002-01-07,81.64,81.84,80.85,81.01,13106500,0.0,0
2002-01-08,81.01,81.19,80.44,80.82,12683700,0.0,0
2002-01-09,80.93,81.69,80.0,80.16,16610300,0.0,0
2002-01-10,80.24,80.7,79.97,80.51,12823400,0.0,0
2002-01-11,80.6,80.65,79.56,79.72,13708400,0.0,0
2002-01-14,79.52,79.65,79.04,79.22,12301100,0.0,0
2002-01-15,79.45,80.03,79.0,79.87,20219900,0.0,0
2002-01-16,79.28,79.35,78.16,78.25,17067000,0.0,0
2002-01-17,78.9,79.24,78.65,78.84,17283400,0.0,0
2002-01-18,78.38,78.97,78.15,78.48,17028000,0.0,0
2002-01-22,78.9,79.02,77.7,77.94,11689300,0.0,0
2002-01-23,78.12,78.76,77.7,78.54,12438900,0.0,0
2002-01-24,78.82,79.24,78.6,78.78,12142800,0.0,0
2002-01-25,78.46,79.19,78.4,78.76,12810700,0.0,0
2002-01-28,79.0,79.2,78.32,78.97,10589200,0.0,0
2002-01-29,78.97,79.16,76.33,76.49,27720800,0.0,0
2002-01-30,76.57,78.65,75.19,77.59,34711800,0.0,0
2002-01-31,77.79,78.58,77.42,78.5,19909200,0.0,0
2002-02-01,78.44,78.58,77.8,78.13,15838500,0.0,0
2002-02-04,77.84,77.84,75.91,76.19,24243400,0.0,0
2002-02-05,75.88,76.64,75.28,75.72,33614000,0.0,0
2002-02-06,76.05,76.12,74.95,75.39,29486000,0.0,0
2002-02-07,75.41,76.2,74.91,74.92,23445400,0.0,0
2002-02-08,75.35,76.82,75.12,76.36,19277800,0.0,0
2002-02-11,76.33,77.43,76.17,77.29,18792400,0.0,0
2002-02-12,76.96,77.48,76.32,77.05,13942500,0.0,0
2002-02-13,77.32,78.06,77.23,77.87,16781100,0.0,0
2002-02-14,78.04,78.36,77.4,77.72,20453800,0.0,0
